square_footage,location,price
1656,Downtown,135000
1224,Rural,153337
1593,Suburb,286000
2727,Downtown,315000
1479,Suburb,184000
1431,Suburb,192000
1709,Downtown,130000
864,Suburb,127000
1456,Suburb,148500
1726,Suburb,311872
3112,Suburb,235000
2229,Downtown,104000
1713,Suburb,274900
1121,Downtown,140000
1279,Rural,171500
1310,Downtown,112000
848,Suburb,149000
1284,Downtown,110000
1442,Suburb,180500
1696,Rural,143900
1100,Suburb,141000
2062,Rural,277000
1092,Suburb,145000
864,Downtown,98000
1212,Downtown,186000
1852,Suburb,252678
990,Suburb,156000
1392,Suburb,161750
1236,Suburb,134450
1436,Suburb,210000
1328,Downtown,107000
1954,Downtown,311500
1248,Suburb,167240
1498,Suburb,204900
2267,Suburb,200000
1552,Suburb,179900
864,Suburb,97000
2392,Suburb,386250
1302,Suburb,112000
2520,Suburb,290000
987,Suburb,106000
912,Rural,125000
1555,Suburb,192500
1194,Suburb,148000
2794,Suburb,403000
987,Suburb,94500
894,Suburb,128200
1960,Suburb,216500
987,Suburb,89500
1414,Suburb,185500
1744,Rural,194500
1694,Suburb,318000
1487,Downtown,113000
1566,Suburb,262500
866,Downtown,110500
1440,Downtown,79000
1217,Rural,120000
2110,Rural,205000
1872,Suburb,241500
1928,Downtown,137000
1375,Suburb,140000
1668,Suburb,180000
2144,Rural,277000
1306,Downtown,76500
1625,Downtown,235000
1640,Rural,173000
1302,Suburb,158000
1314,Suburb,145000
2291,Suburb,230000
1728,Suburb,207500
1604,Suburb,220000
1792,Suburb,231500
882,Downtown,97000
1382,Suburb,176000
2574,Suburb,276000
1212,Rural,151000
1316,Downtown,130000
764,Downtown,73000
1422,Suburb,175500
1511,Suburb,185000
2192,Downtown,179500
778,Downtown,120500
1113,Downtown,148000
1939,Suburb,266000
1363,Rural,241500
2270,Suburb,290000
1632,Suburb,139000
816,Rural,124500
1548,Downtown,205000
1560,Rural,201000
864,Suburb,141000
2121,Suburb,415298
2022,Rural,192000
1982,Rural,228500
1262,Suburb,185000
1314,Suburb,207500
1468,Suburb,244600
1575,Rural,179200
1250,Suburb,164700
1734,Suburb,159000
858,Suburb,88000
900,Rural,122000
1396,Downtown,153575
1919,Suburb,233230
1716,Downtown,135900
1716,Downtown,131000
2263,Suburb,235000
1644,Suburb,167000
1003,Rural,142500
1558,Downtown,152000
1950,Suburb,239000
1743,Suburb,175000
1152,Downtown,158500
1336,Downtown,157000
2452,Suburb,267000
1541,Suburb,205000
894,Suburb,149900
3493,Downtown,295000
2000,Suburb,305900
2243,Rural,225000
1406,Downtown,89500
861,Downtown,82500
1944,Suburb,360000
1501,Suburb,165600
972,Suburb,132000
1118,Downtown,119900
2036,Rural,375000
1641,Downtown,178000
1432,Suburb,188500
2353,Suburb,260000
1959,Suburb,270000
2646,Suburb,260000
1472,Suburb,187500
2596,Suburb,342643
2468,Suburb,354000
2730,Rural,301000
1163,Downtown,126175
2978,Suburb,242000
803,Downtown,87000
1719,Rural,324000
1383,Suburb,145250
2134,Downtown,214500
1192,Downtown,78000
1728,Suburb,119000
1056,Suburb,139000
1629,Suburb,284000
1358,Suburb,207000
1638,Suburb,192000
1786,Rural,228950
1922,Suburb,377426
1536,Suburb,214000
1621,Suburb,202500
1215,Suburb,155000
1908,Rural,202900
841,Rural,82000
1040,Suburb,87500
1684,Suburb,266000
1112,Suburb,85000
1577,Downtown,140200
958,Suburb,151500
1478,Suburb,157500
1626,Suburb,154000
2728,Suburb,437154
1869,Suburb,318061
1453,Rural,190000
1111,Downtown,95000
720,Downtown,105900
1595,Downtown,140000
1200,Suburb,177500
1167,Suburb,173000
1142,Suburb,134000
1352,Rural,130000
1924,Suburb,280000
912,Rural,156000
1505,Downtown,145000
1922,Downtown,198500
987,Suburb,118000
1574,Suburb,190000
1344,Downtown,147000
1394,Suburb,159000
1431,Suburb,165000
1268,Suburb,132000
1287,Suburb,162000
1664,Suburb,172400
1588,Rural,134432
752,Rural,125000
1319,Suburb,123000
1928,Suburb,219500
904,Downtown,61000
914,Suburb,148000
2466,Suburb,340000
1856,Suburb,394432
1800,Suburb,179000
1691,Downtown,127000
1301,Suburb,187750
1797,Suburb,213500
784,Rural,76000
1953,Rural,240000
1269,Suburb,192000
1184,Downtown,81000
1125,Downtown,125000
1479,Suburb,191000
2332,Suburb,426000
1367,Downtown,119000
1961,Rural,215000
882,Suburb,106500
788,Downtown,100000
1034,Downtown,109000
1144,Downtown,129000
894,Suburb,123000
1812,Suburb,169500
1077,Downtown,67000
1550,Suburb,241000
1288,Rural,245500
1310,Suburb,164990
672,Rural,108000
2263,Suburb,258000
1572,Suburb,168000
1620,Rural,150000
1639,Downtown,115000
1680,Downtown,177000
2172,Suburb,280000
2078,Suburb,339750
1276,Downtown,60000
1056,Suburb,145000
1478,Suburb,222000
1028,Downtown,115000
2097,Rural,228000
1340,Suburb,181134
1400,Rural,149500
2624,Downtown,239000
1134,Downtown,126000
1056,Suburb,142000
1344,Rural,206300
1602,Suburb,215000
988,Rural,113000
2630,Suburb,315000
1196,Suburb,139000
1389,Downtown,135000
1644,Rural,275000
907,Suburb,109008
1208,Suburb,195400
1412,Rural,175000
987,Suburb,85400
1198,Downtown,79900
1365,Suburb,122500
1604,Suburb,181000
630,Suburb,81000
1661,Suburb,212000
1118,Downtown,116000
904,Downtown,119000
694,Downtown,90350
1196,Downtown,110000
2402,Suburb,555000
1440,Downtown,118000
1573,Downtown,162900
1258,Suburb,172500
1908,Suburb,210000
1689,Downtown,127500
1888,Suburb,190000
1886,Suburb,199900
1376,Downtown,119500
1183,Downtown,120000
813,Downtown,110000
1533,Rural,280000
1756,Rural,204000
1590,Suburb,210000
1728,Rural,188000
1242,Suburb,175500
1344,Downtown,98000
1663,Rural,256000
1666,Downtown,161000
1203,Downtown,110000
1935,Suburb,263435
1135,Downtown,155000
864,Rural,62383
1660,Downtown,188700
1040,Suburb,124000
1414,Suburb,178740
1277,Suburb,167000
1644,Suburb,146500
1634,Suburb,250000
1710,Rural,187000
1502,Suburb,212000
1969,Suburb,190000
1072,Downtown,148000
1976,Suburb,440000
1652,Suburb,251000
970,Rural,132500
1493,Suburb,208900
2643,Suburb,380000
1718,Suburb,297000
1131,Downtown,89471
1850,Suburb,326000
1792,Suburb,374000
1826,Downtown,155000
1216,Rural,164000
999,Rural,132500
1113,Suburb,147000
1073,Suburb,156000
1484,Suburb,175000
2414,Downtown,160000
630,Suburb,86000
1304,Suburb,115000
1578,Suburb,133000
1456,Suburb,172785
1269,Suburb,155000
886,Downtown,91300
720,Downtown,34900
3228,Suburb,430000
1820,Downtown,184000
899,Rural,130000
912,Suburb,120000
1218,Suburb,113000
1768,Suburb,226700
1214,Downtown,140000
1801,Downtown,289000
1322,Suburb,147000
1960,Downtown,124500
1911,Rural,215000
1218,Suburb,208300
1378,Downtown,161000
1041,Suburb,124500
1363,Suburb,164900
1368,Suburb,202665
864,Suburb,129900
1080,Rural,134000
789,Downtown,96500
2020,Suburb,402861
2119,Suburb,158000
2344,Suburb,265000
1796,Suburb,211000
2080,Downtown,234000
1294,Downtown,106250
1244,Suburb,150000
1664,Downtown,159000
4676,Downtown,184750
2398,Suburb,315750
1266,Suburb,176000
928,Suburb,132000
2713,Suburb,446261
605,Downtown,86000
2515,Downtown,200624
1509,Rural,175000
1362,Downtown,128000
827,Suburb,107500
334,Downtown,39300
1414,Suburb,178000
1347,Downtown,107500
1724,Suburb,188000
864,Suburb,111250
1159,Rural,158000
1601,Suburb,272000
1838,Rural,315000
2285,Suburb,248000
1680,Suburb,213250
767,Suburb,133000
1496,Suburb,179665
2183,Suburb,229000
1635,Downtown,210000
768,Rural,129500
825,Downtown,125000
2094,Suburb,263000
1069,Suburb,140000
928,Downtown,112500
1717,Suburb,255500
1126,Downtown,108000
2046,Suburb,284000
1048,Downtown,113000
1092,Suburb,141000
1336,Downtown,108000
1446,Suburb,175000
1557,Suburb,234000
1392,Rural,121500
1389,Rural,170000
996,Downtown,108000
1674,Downtown,185000
2295,Suburb,268000
1647,Downtown,128000
2504,Suburb,325000
1535,Suburb,214000
2132,Rural,316600
943,Suburb,135960
1728,Suburb,142600
864,Suburb,120000
1692,Rural,224500
1430,Suburb,170000
1109,Suburb,139000
1216,Suburb,118500
1477,Downtown,145000
1320,Rural,164500
1392,Suburb,146000
1795,Downtown,131500
1429,Suburb,181900
2042,Suburb,253293
816,Downtown,118500
2775,Downtown,325000
1573,Downtown,133000
2028,Rural,369900
838,Downtown,130000
860,Rural,137000
1473,Rural,143000
935,Downtown,79500
1582,Suburb,185900
2296,Suburb,451950
816,Rural,138000
848,Suburb,140000
924,Suburb,110000
1826,Suburb,319000
1368,Downtown,114504
1402,Suburb,194201
1647,Downtown,217500
1556,Suburb,151000
1904,Suburb,275000
1375,Downtown,141000
1915,Rural,220000
1200,Suburb,151000
1494,Suburb,221000
1986,Suburb,205000
1040,Suburb,152000
2008,Downtown,225000
3194,Downtown,359100
1029,Rural,118500
2153,Suburb,313000
1032,Suburb,148000
1872,Suburb,261500
1120,Rural,147000
630,Suburb,75500
1054,Suburb,137500
1509,Suburb,183200
832,Suburb,105500
1828,Suburb,314813
2262,Rural,305000
864,Downtown,67000
2614,Suburb,240000
980,Rural,135000
1512,Suburb,168500
1790,Suburb,165150
1116,Suburb,160000
1422,Suburb,139900
1520,Suburb,153000
2080,Suburb,135000
1350,Suburb,168500
1750,Downtown,124000
1554,Suburb,209500
1411,Suburb,82500
1056,Suburb,139400
1056,Downtown,144000
3395,Downtown,200000
800,Downtown,60000
1387,Downtown,93000
796,Downtown,85000
1567,Suburb,264561
1518,Suburb,274000
1929,Suburb,226000
2704,Suburb,345000
1620,Suburb,152000
1766,Suburb,370878
981,Suburb,143250
1048,Suburb,98300
1094,Downtown,155000
1839,Suburb,155000
630,Suburb,84500
1665,Suburb,205950
1510,Downtown,108000
1716,Suburb,191000
1469,Downtown,135000
2113,Suburb,350000
1092,Suburb,88000
1053,Suburb,145500
1502,Downtown,149000
1458,Suburb,97500
1486,Downtown,167000
1935,Suburb,197900
2448,Suburb,402000
1392,Suburb,110000
1181,Downtown,137500
2097,Suburb,423000
1936,Suburb,230500
2380,Suburb,129000
1679,Rural,193500
1437,Rural,168000
1180,Downtown,137500
1476,Suburb,173500
1369,Downtown,103600
1208,Rural,165000
1839,Downtown,257500
1136,Suburb,140000
1441,Suburb,148500
1774,Downtown,87000
792,Downtown,109500
2046,Suburb,372500
988,Rural,128500
923,Rural,143000
1520,Downtown,159434
1291,Rural,173000
1668,Suburb,285000
1839,Suburb,221000
2090,Suburb,207500
1761,Suburb,227875
1102,Suburb,148800
1419,Suburb,392000
1362,Suburb,194700
848,Suburb,141000
4316,Suburb,755000
2519,Rural,335000
1073,Downtown,108480
1539,Downtown,141500
1137,Rural,176000
616,Downtown,89000
1148,Downtown,123500
894,Rural,138500
1391,Suburb,196000
1800,Rural,312500
1164,Suburb,140000
2576,Suburb,361919
1812,Downtown,140000
1484,Suburb,213000
1092,Downtown,55000
1824,Rural,302000
1324,Suburb,254000
1456,Suburb,179540
904,Rural,109900
729,Downtown,52000
1178,Downtown,102776
1228,Suburb,189000
960,Downtown,129000
1479,Rural,130500
1350,Suburb,165000
2554,Downtown,159500
1178,Suburb,157000
2418,Suburb,341000
971,Suburb,128500
1742,Suburb,275000
848,Suburb,143000
864,Suburb,124500
1470,Downtown,135000
1698,Downtown,320000
864,Suburb,120500
1680,Downtown,222000
1232,Suburb,194500
1776,Suburb,110000
1208,Downtown,103000
1616,Suburb,236500
1146,Rural,187500
2031,Suburb,222500
1144,Rural,131400
948,Rural,108000
1768,Downtown,163000
1040,Suburb,93500
1801,Suburb,239900
1200,Downtown,179000
1728,Suburb,190000
1432,Downtown,132000
912,Rural,142000
1349,Rural,179000
1464,Rural,175000
1337,Suburb,180000
2715,Suburb,299800
2256,Suburb,236000
2640,Downtown,265979
1720,Suburb,260400
1529,Downtown,98000
1140,Downtown,96500
1320,Suburb,162000
1494,Suburb,217000
2098,Suburb,275500
1026,Suburb,156000
1471,Suburb,172500
1768,Suburb,212000
1386,Rural,158900
1501,Suburb,179400
2531,Suburb,290000
864,Suburb,127500
1301,Downtown,100000
1547,Suburb,215200
2365,Suburb,337000
1494,Rural,270000
1506,Suburb,264132
1714,Suburb,196500
1750,Rural,160000
1836,Suburb,216837
3279,Suburb,538000
858,Rural,134900
1220,Downtown,102000
1117,Downtown,107000
912,Suburb,114500
1973,Suburb,395000
1204,Rural,162000
1614,Suburb,221500
894,Rural,142500
2020,Rural,144000
1004,Rural,135000
1253,Suburb,176000
1603,Rural,175900
1430,Suburb,187100
1110,Rural,165500
1484,Downtown,128000
1342,Suburb,161500
1652,Downtown,139000
2084,Rural,233000
901,Downtown,107900
2087,Rural,187500
1145,Suburb,160200
1062,Rural,146800
2013,Suburb,269790
1496,Suburb,225000
1895,Suburb,194500
1564,Rural,171000
1285,Rural,143500
773,Suburb,110000
3140,Suburb,485000
1768,Downtown,175000
1688,Rural,200000
1196,Downtown,109900
1456,Suburb,189000
2822,Suburb,582933
1128,Suburb,118000
1428,Suburb,227680
980,Suburb,135500
1576,Downtown,223500
1086,Suburb,159950
2138,Downtown,106000
1309,Suburb,181000
848,Suburb,144500
1044,Downtown,55993
1442,Suburb,157900
1250,Downtown,116000
1661,Suburb,224900
1008,Suburb,137000
1689,Rural,271000
1052,Rural,155000
1358,Suburb,224000
1640,Suburb,183000
936,Downtown,93000
1733,Suburb,225000
1489,Downtown,139500
1489,Suburb,232600
2084,Suburb,385000
784,Downtown,109500
1434,Rural,189000
2126,Rural,185000
1223,Suburb,147400
1392,Suburb,166000
1200,Suburb,151000
1829,Suburb,237000
1516,Suburb,167000
1144,Suburb,139950
1067,Rural,128000
1559,Downtown,153500
987,Suburb,100000
1099,Suburb,144000
1200,Downtown,130500
1482,Downtown,140000
1539,Downtown,157500
1165,Suburb,174900
1800,Suburb,141000
1416,Downtown,153900
1701,Rural,171000
1775,Rural,213000
864,Suburb,133500
2358,Rural,240000
1855,Rural,187000
848,Suburb,131500
1456,Suburb,215000
1646,Downtown,164000
1445,Suburb,158000
1779,Rural,170000
1040,Rural,127000
1026,Suburb,147000
1481,Suburb,174000
1370,Suburb,152000
2654,Suburb,250000
1426,Downtown,189950
1039,Rural,131500
1097,Rural,152000
1148,Suburb,132500
1372,Suburb,250580
1002,Suburb,148500
1646,Rural,248900
1120,Rural,129000
2320,Suburb,169000
1949,Rural,236000
894,Suburb,109500
1682,Suburb,200500
910,Suburb,116000
1268,Suburb,133000
1131,Downtown,66500
2610,Suburb,303477
1040,Rural,132250
2224,Suburb,350000
1155,Rural,148000
864,Suburb,136500
1090,Downtown,157000
1717,Rural,187500
1593,Suburb,178000
2230,Downtown,118500
892,Suburb,100000
1709,Suburb,328900
1712,Suburb,145000
1393,Downtown,135500
2217,Suburb,268000
1505,Suburb,149500
924,Suburb,122900
1683,Rural,172500
1068,Rural,154500
1383,Rural,165000
1535,Rural,118858
1796,Suburb,140000
951,Downtown,106500
2240,Rural,142953
2364,Suburb,611657
1236,Rural,135000
858,Suburb,110000
1306,Suburb,153000
1509,Suburb,180000
1670,Suburb,240000
902,Rural,125500
1063,Suburb,128000
1636,Suburb,255000
2057,Downtown,250000
902,Rural,131000
1484,Suburb,174000
2274,Suburb,154300
1268,Suburb,143500
1015,Downtown,88000
2002,Downtown,145000
1224,Suburb,173733
1092,Suburb,75000
480,Downtown,35311
1229,Downtown,135000
2127,Rural,238000
1414,Suburb,176500
1721,Rural,201000
2200,Downtown,145900
1316,Suburb,169990
1617,Rural,193000
1686,Suburb,207500
1126,Suburb,175000
2374,Suburb,285000
1978,Suburb,176000
1788,Suburb,236500
2236,Suburb,222000
1466,Rural,201000
925,Suburb,117500
1905,Suburb,320000
1500,Suburb,190000
2069,Suburb,242000
747,Downtown,79900
1200,Rural,184900
1971,Suburb,253000
1962,Suburb,239799
2403,Rural,244400
1728,Rural,150900
2060,Suburb,214000
1440,Downtown,150000
1632,Rural,143000
1344,Rural,137500
1869,Downtown,124900
1144,Suburb,143000
1629,Rural,270000
1776,Suburb,192500
1381,Suburb,197500
864,Suburb,129000
965,Rural,119900
768,Suburb,133900
1968,Rural,172000
980,Downtown,127500
1958,Downtown,145000
1229,Suburb,124000
1057,Rural,132000
1337,Suburb,185000
1416,Suburb,155000
858,Downtown,116500
2872,Suburb,272000
1548,Suburb,155000
1800,Suburb,239000
1894,Rural,214900
1484,Suburb,178900
1308,Downtown,160000
1098,Suburb,135000
968,Downtown,37900
1095,Suburb,140000
1192,Suburb,135000
1626,Suburb,173000
918,Rural,99500
1428,Suburb,182000
2019,Downtown,167500
1382,Suburb,165000
869,Downtown,85500
1241,Suburb,199900
894,Downtown,110000
1121,Rural,139000
999,Suburb,178400
2612,Suburb,336000
1266,Suburb,159895
2290,Suburb,255900
1734,Rural,126000
1164,Downtown,125000
1635,Downtown,117000
1940,Suburb,395192
2030,Suburb,195000
1576,Suburb,197000
2392,Suburb,348000
1742,Downtown,168000
1851,Suburb,187000
1500,Suburb,173900
1718,Suburb,337500
1230,Downtown,121600
1050,Suburb,136500
1442,Suburb,185000
1077,Downtown,91000
1208,Suburb,206000
944,Downtown,82000
691,Downtown,86000
1574,Suburb,232000
1680,Suburb,136905
1504,Suburb,181000
985,Suburb,149900
1657,Suburb,163500
1092,Suburb,88000
1710,Rural,240000
1522,Downtown,102000
1271,Rural,135000
1664,Downtown,100000
1502,Downtown,165000
1022,Downtown,85000
1082,Suburb,119200
1665,Suburb,227000
1504,Suburb,203000
1360,Suburb,187500
1472,Suburb,160000
1506,Suburb,213490
1132,Downtown,176000
1220,Suburb,194000
1248,Downtown,87000
1504,Suburb,191000
2898,Rural,287000
882,Suburb,112500
1264,Suburb,167500
1646,Rural,293077
1376,Suburb,105000
1218,Suburb,118000
1928,Downtown,160000
3082,Downtown,197000
2520,Suburb,310000
1654,Suburb,230000
954,Downtown,119750
845,Downtown,84000
1620,Rural,315500
2263,Suburb,287000
1344,Suburb,97000
630,Suburb,80000
1803,Rural,155000
1632,Suburb,173000
1306,Suburb,196000
2329,Rural,262280
2524,Suburb,278000
1733,Downtown,139600
2868,Suburb,556581
990,Suburb,145000
1771,Rural,115000
930,Downtown,84900
1302,Suburb,176485
1316,Suburb,200141
1977,Suburb,165000
1526,Downtown,144500
1989,Suburb,255000
1523,Suburb,180000
1364,Suburb,185850
1850,Suburb,248000
2184,Suburb,335000
1991,Downtown,220000
1338,Suburb,213500
894,Downtown,81000
2337,Downtown,90000
1103,Downtown,110500
1154,Suburb,154000
2260,Rural,328000
1571,Suburb,178000
1611,Suburb,167900
2521,Suburb,151400
893,Suburb,135000
1048,Suburb,135000
1556,Suburb,154000
1456,Downtown,91500
1426,Downtown,159500
1240,Suburb,194000
1740,Downtown,219500
1466,Downtown,170000
1096,Suburb,138800
848,Suburb,155900
990,Suburb,126000
1258,Suburb,145000
1040,Rural,133000
1459,Suburb,192000
1251,Suburb,160000
1498,Suburb,187500
996,Rural,147000
1092,Suburb,83500
1953,Suburb,252000
1709,Downtown,137500
1247,Suburb,197000
1040,Suburb,92900
1252,Suburb,160000
1694,Downtown,136500
1200,Suburb,146000
936,Suburb,129000
1314,Suburb,176432
1355,Downtown,127000
1088,Suburb,170000
1324,Downtown,128000
1601,Suburb,157000
438,Downtown,60000
950,Suburb,119500
1134,Suburb,135000
1194,Suburb,159500
1302,Suburb,106000
2622,Suburb,325000
1442,Rural,179900
2021,Suburb,274725
1690,Suburb,181000
1836,Suburb,280000
1658,Suburb,188000
1964,Suburb,205000
816,Suburb,129900
1008,Suburb,134500
833,Downtown,117000
1734,Suburb,318000
1419,Suburb,184100
894,Rural,130000
1601,Rural,140000
1040,Suburb,133700
1012,Downtown,118400
1552,Suburb,212900
960,Downtown,112000
698,Downtown,118000
1482,Suburb,163900
1005,Suburb,115000
1555,Suburb,174000
1530,Suburb,259000
1959,Suburb,215000
936,Downtown,140000
1981,Downtown,135000
974,Rural,93500
2210,Downtown,117500
2020,Rural,239500
1600,Suburb,169000
986,Downtown,102000
1252,Suburb,119000
1020,Rural,94000
1567,Rural,196000
1167,Downtown,144000
952,Suburb,139000
1868,Suburb,197500
2828,Suburb,424870
1006,Rural,80000
924,Downtown,80000
1576,Downtown,149000
1298,Rural,180000
1564,Downtown,174500
1111,Downtown,116900
1482,Downtown,143000
932,Suburb,124000
1466,Downtown,149900
1811,Downtown,230000
816,Downtown,120500
1820,Suburb,201800
1437,Rural,218000
1265,Suburb,179900
1314,Suburb,230000
1580,Suburb,235128
1876,Suburb,185000
1456,Suburb,146000
1640,Downtown,224000
894,Rural,129000
1258,Rural,108959
1432,Rural,194000
1502,Suburb,233170
1694,Suburb,245350
1671,Suburb,173000
2108,Downtown,235000
3627,Suburb,625000
1118,Rural,171000
1261,Suburb,163000
1250,Suburb,171900
3086,Rural,200500
2345,Downtown,239000
2872,Suburb,285000
923,Rural,119500
1224,Downtown,115000
1343,Downtown,154900
1124,Downtown,93000
2514,Rural,250000
1652,Downtown,392500
4476,Suburb,745000
1130,Downtown,120000
1572,Rural,186700
1221,Downtown,104900
1699,Downtown,95000
1624,Suburb,262000
1660,Suburb,195000
1804,Suburb,189000
1622,Rural,168000
1441,Suburb,174000
1472,Downtown,125000
1224,Rural,165000
1352,Rural,158000
1456,Suburb,176000
1863,Suburb,219210
1690,Downtown,144000
1212,Suburb,178000
1382,Rural,148000
864,Suburb,116050
1779,Suburb,197900
1348,Downtown,117000
1630,Suburb,213000
1074,Suburb,153500
2196,Rural,271900
1056,Rural,107000
1700,Suburb,200000
1283,Suburb,140000
1660,Suburb,290000
1845,Rural,189000
1752,Suburb,164000
672,Downtown,113000
960,Rural,145000
999,Suburb,134500
894,Rural,125000
1902,Rural,112000
1314,Suburb,229456
912,Downtown,80500
1218,Suburb,91500
912,Suburb,115000
1211,Rural,134000
1846,Suburb,143000
2136,Suburb,137900
1490,Suburb,184000
1138,Suburb,145000
1933,Suburb,214000
912,Suburb,147000
1702,Suburb,367294
1507,Suburb,127000
2620,Rural,190000
1190,Suburb,132500
1224,Suburb,101800
1188,Suburb,142000
1964,Downtown,130000
1784,Downtown,138887
1626,Suburb,175500
1948,Suburb,195000
1141,Rural,142500
1484,Rural,265900
1768,Suburb,224900
1689,Suburb,248328
1173,Suburb,170000
2076,Suburb,465000
1517,Downtown,230000
1868,Suburb,178000
1553,Suburb,186500
1034,Rural,169900
2058,Downtown,129500
988,Suburb,119000
2110,Suburb,244000
1405,Suburb,171750
874,Rural,130000
2167,Rural,294000
1656,Downtown,165400
1367,Downtown,127500
1987,Suburb,301500
864,Downtown,99900
1166,Suburb,190000
1054,Suburb,151000
1675,Suburb,181000
1050,Suburb,128900
1788,Rural,161500
1824,Downtown,180500
1337,Suburb,181000
1452,Suburb,183900
1889,Downtown,122000
2018,Rural,378500
3447,Downtown,381000
1524,Suburb,144000
1524,Rural,260000
1489,Suburb,185750
935,Rural,137000
1357,Downtown,177000
1250,Downtown,139000
1920,Suburb,137000
1395,Suburb,162000
1724,Suburb,197900
2031,Suburb,237000
1128,Downtown,68400
1573,Suburb,227000
1339,Rural,180000
1040,Suburb,150500
1824,Rural,139000
2447,Downtown,169000
1412,Downtown,132500
1328,Suburb,143000
1582,Rural,190000
1659,Suburb,278000
1970,Suburb,281000
1152,Suburb,180500
1302,Suburb,119500
2372,Downtown,107500
1664,Suburb,162900
864,Downtown,115000
1052,Suburb,138500
1128,Suburb,155000
1072,Downtown,140000
5642,Downtown,160000
1246,Suburb,154000
1983,Suburb,225000
1494,Downtown,177500
2526,Suburb,290000
1616,Suburb,232000
1708,Downtown,130000
1652,Suburb,325000
1368,Suburb,202500
990,Suburb,138000
1122,Downtown,147000
1294,Rural,179200
1902,Downtown,335000
